,Location,Latitude,Longitude
185,Siasconset,41.26,-69.97
186,Smith Mills,41.64,-70.99
187,Somerset,41.74,-71.16
188,Somerville city,42.39,-71.1
189,South Amherst,42.34,-72.52
190,South Ashburnham,42.61,-71.94
191,South Deerfield,42.48,-72.59
192,South Dennis,41.71,-70.15
193,South Duxbury,42.02,-70.69
194,South Lancaster,42.44,-71.69
195,South Yarmouth,41.67,-70.2
196,Southbridge Town city,42.06,-72.03
197,Southfield,42.15,-70.93
198,Spencer,42.25,-71.99
199,Springfield city,42.12,-72.54
200,Stoneham,42.47,-71.1
201,Sturbridge,42.1,-72.06
202,Swampscott,42.47,-70.89
203,Taunton city,41.9,-71.09
204,Teaticket,41.56,-70.59
205,The Pinehills,41.89,-70.6
206,Topsfield,42.64,-70.96
207,Townsend,42.67,-71.7
208,Turners Falls,42.6,-72.56
209,Upton,42.18,-71.61
210,Vineyard Haven,41.46,-70.6
211,Wakefield,42.5,-71.07
212,Walpole,42.14,-71.24
213,Waltham city,42.39,-71.24
214,Ware,42.25,-72.25
215,Wareham Center,41.75,-70.72
216,Warren,42.22,-72.19
217,Watertown Town city,42.37,-71.18
218,Webster,42.04,-71.87
219,Wellesley,42.3,-71.29
220,West Brookfield,42.24,-72.15
221,West Chatham,41.68,-69.99
222,West Concord,42.45,-71.4
223,West Dennis,41.67,-70.17
224,West Falmouth,41.6,-70.64
225,West Springfield Town city,42.13,-72.65
226,West Wareham,41.79,-70.75
227,West Yarmouth,41.65,-70.25
228,Westborough,42.27,-71.62
229,Westfield city,42.14,-72.76
230,Weweantic,41.74,-70.73
231,Weymouth Town city,42.21,-70.94
232,White Island Shores,41.79,-70.64
233,Whitinsville,42.11,-71.67
234,Wilbraham,42.13,-72.43
235,Williamstown,42.71,-73.2
236,Wilmington,42.56,-71.17
237,Winchendon,42.68,-72.04
238,Winchester,42.45,-71.15
239,Winthrop Town city,42.38,-70.97
240,Woburn city,42.49,-71.15
241,Woods Hole,41.53,-70.67
242,Worcester city,42.27,-71.81
243,Yarmouth Port,41.71,-70.23
